Id,lat1,lat2,lon1,lon2,time1,time2,stay,area1,area2,place1,place2
02013814,51.50853,57.1718,-0.12574,-2.40945,1867,1867,0,United Kingdom,United Kingdom,London,Dunecht
02013814,57.1718,42.35843,-2.40945,-71.05977,1887,1887,0,United Kingdom,United States,Dunecht,Boston
02013814,42.35843,42.35843,-71.05977,-71.05977,1903,1903,0,United States,United States,Boston,Boston
02141160,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141160,42.83333,52.28107,12.83333,-1.00095,1481,1792,311,Italy,United Kingdom,NoInfo,Althorp
02141160,52.28107,51.50853,-1.00095,-0.12574,1481,1757,276,United Kingdom,United Kingdom,Althorp,London
02141160,51.50853,51.50853,-0.12574,-0.12574,1829,1829,0,United Kingdom,United Kingdom,London,London
02141160,51.50853,51.50853,-0.12574,-0.12574,1829,1829,0,United Kingdom,United Kingdom,London,London
02141529,43.77925,50.04937,11.24626,10.22175,1481,1960,479,Italy,Germany,Florence,Schweinfurt
02141529,50.04937,40.71427,10.22175,-74.00597,2000,1996,-4,Germany,United States,Schweinfurt,New York
02140753,43.77925,43.79359,11.24626,11.82031,1481,1854,373,Italy,Italy,Florence,Camaldoli
02140753,43.79359,43.72123,11.82031,11.76642,1856,1856,0,Italy,Italy,Camaldoli,Poppi
02140643,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140643,42.83333,42.83333,12.83333,12.83333,1500,1481,-19,Italy,Italy,NoInfo,NoInfo
02140643,42.83333,40.42435,12.83333,15.07981,1500,1481,-19,Italy,Italy,NoInfo,Capaccio
02140643,40.42435,41.90225,15.07981,12.4533,1504,1504,0,Italy,Vatican City,Capaccio,Vatican City
02140643,41.90225,48.85341,12.4533,2.3488,1504,1797,293,Vatican City,France,Vatican City,Paris
02140635,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140635,42.83333,42.83333,12.83333,12.83333,1500,1481,-19,Italy,Italy,NoInfo,NoInfo
02140635,42.83333,36.43556,12.83333,28.22199,1500,1481,-19,Italy,Greece,NoInfo,Rhodes
02140635,36.43556,48.85341,28.22199,2.3488,1503,1792,289,Greece,France,Rhodes,Paris
02140761,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140761,42.83333,42.83333,12.83333,12.83333,1600,1481,-119,Italy,Italy,NoInfo,NoInfo
02140761,42.83333,41.89193,12.83333,12.51133,1600,1481,-119,Italy,Italy,NoInfo,Rome
02140633,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140633,42.83333,42.83333,12.83333,12.83333,1500,1481,-19,Italy,Italy,NoInfo,NoInfo
02140633,42.83333,43.77925,12.83333,11.24626,1600,1601,1,Italy,Italy,NoInfo,Florence
02140633,43.77925,48.85341,11.24626,2.3488,1800,1818,18,Italy,France,Florence,Paris
02140985,43.77925,48.69096,11.24626,9.14062,1481,1481,0,Italy,NoInfo,Florence,Europe
02140985,48.69096,48.69096,9.14062,9.14062,1550,1700,150,NoInfo,NoInfo,Europe,NoInfo
02140985,48.69096,48.85341,9.14062,2.3488,1800,1845,45,NoInfo,France,NoInfo,Paris
02140985,48.85341,48.85341,2.3488,2.3488,1934,1935,1,France,France,Paris,Paris
02140771,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140771,42.83333,42.83333,12.83333,12.83333,1600,1481,-119,Italy,Italy,NoInfo,NoInfo
02140771,42.83333,43.77925,12.83333,11.24626,1600,1501,-99,Italy,Italy,NoInfo,Florence
02140771,43.77925,41.89193,11.24626,12.51133,1600,1754,154,Italy,Italy,Florence,Rome
02140771,41.89193,41.89193,12.51133,12.51133,1883,1883,0,Italy,Italy,Rome,Rome
02141568,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141568,42.83333,42.83333,12.83333,12.83333,1500,1481,-19,Italy,Italy,NoInfo,NoInfo
02141568,42.83333,43.77925,12.83333,11.24626,1600,1481,-119,Italy,Italy,NoInfo,Florence
02141568,43.77925,43.77925,11.24626,11.24626,1529,1794,265,Italy,Italy,Florence,Florence
02141568,43.77925,43.77925,11.24626,11.24626,1845,1805,-40,Italy,Italy,Florence,Florence
02141568,43.77925,43.77925,11.24626,11.24626,1868,1824,-44,Italy,Italy,Florence,Florence
02141568,43.77925,42.83333,11.24626,12.83333,1903,1949,46,Italy,Italy,Florence,NoInfo
02141271,43.77925,45.46427,11.24626,9.18951,1481,1481,0,Italy,Italy,Florence,Milan
02141271,45.46427,34.05223,9.18951,-118.24368,1501,1963,462,Italy,United States,Milan,Los Angeles
02141268,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141268,42.83333,40.71427,12.83333,-74.00597,1600,1921,321,Italy,United States,NoInfo,New York
02141268,40.71427,42.71202,-74.00597,-73.20372,1936,1923,-13,United States,United States,New York,Williamstown
02141017,43.77925,42.83333,11.24626,12.83333,1481,1601,120,Italy,Italy,Florence,NoInfo
02141017,42.83333,43.54427,12.83333,10.32615,1800,1711,-89,Italy,Italy,NoInfo,Livorno
02141017,43.54427,43.77925,10.32615,11.24626,1792,1792,0,Italy,Italy,Livorno,Florence
02141017,43.77925,43.77925,11.24626,11.24626,1810,1810,0,Italy,Italy,Florence,Florence
02141530,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141530,42.83333,45.43713,12.83333,12.33265,1500,1481,-19,Italy,Italy,NoInfo,Venice
02141530,45.43713,45.43713,12.33265,12.33265,1806,1807,1,Italy,Italy,Venice,Venice
02141555,43.77925,35.68536,11.24626,139.75309,1481,1501,20,Italy,Japan,Florence,NoInfo
02141555,35.68536,26.46523,139.75309,80.34975,1600,1850,250,Japan,United State,NoInfo,NoInfo
02141555,26.46523,40.11059,80.34975,-88.20727,1950,1965,15,United State,United States,NoInfo,Urbana
02140612,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140612,42.83333,50.85045,12.83333,4.34878,1600,1481,-119,Italy,Belgium,NoInfo,Brussels
02140613,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140613,42.83333,42.83333,12.83333,12.83333,1600,1501,-99,Italy,NoInfo,NoInfo,NoInfo
02140613,42.83333,41.89193,12.83333,12.51133,1700,1570,-130,NoInfo,Italy,NoInfo,Rome
02140613,41.89193,40.91149,12.51133,-73.78235,1630,1920,290,Italy,United States,Rome,New Rochelle
02140613,40.91149,50.85045,-73.78235,4.34878,1961,1963,2,United States,Belgium,New Rochelle,Brussels
02141605,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141605,42.83333,59.93863,12.83333,30.31413,1600,1795,195,Italy,Russia,NoInfo,St Petersburg
02141250,43.77925,43.77925,11.24626,11.24626,1481,1512,31,Italy,Italy,Florence,Florence
02141250,43.77925,43.4738,11.24626,11.02975,1561,1530,-31,Italy,Italy,Florence,San Gimignano
02141250,43.4738,51.50853,11.02975,-0.12574,1530,1766,236,Italy,United Kingdom,San Gimignano,London
02141250,51.50853,52.37302,-0.12574,4.89856,1827,1981,154,United Kingdom,Netherlands,London,Gemeente Amsterdam
02007303,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02007303,42.83333,42.83333,12.83333,12.83333,1481,1501,20,Italy,Italy,NoInfo,NoInfo
02007303,42.83333,42.83333,12.83333,12.83333,1481,1501,20,Italy,Italy,NoInfo,NoInfo
02007303,42.83333,45.46416,12.83333,9.19199,1700,1801,101,Italy,Italy,NoInfo,Milan
02007303,45.46416,45.46416,9.19199,9.19199,1700,1801,101,Italy,Italy,Milan,Milan
02007303,45.46416,45.46416,9.19199,9.19199,1700,1901,201,Italy,Italy,Milan,Milan
02007303,45.46416,42.83333,9.19199,12.83333,1700,1901,201,Italy,Italy,Milan,NoInfo
02141203,43.77925,41.82399,11.24626,-71.41283,1481,1907,426,Italy,United States,Florence,Providence
02141203,41.82399,41.82399,-71.41283,-71.41283,1948,1948,0,United States,United States,Providence,Providence
02140668,43.77925,53.55073,11.24626,9.99302,1481,1481,0,Italy,Germany,Florence,Hamburg
02140701,43.77925,43.77925,11.24626,11.24626,1481,1501,20,Italy,Italy,Florence,Florence
02140701,43.77925,43.77925,11.24626,11.24626,1600,1714,114,Italy,Italy,Florence,Florence
02140701,43.77925,43.77925,11.24626,11.24626,1861,1861,0,Italy,Italy,Florence,Florence
02141556,43.77925,43.77925,11.24626,11.24626,1481,1899,418,Italy,Italy,Florence,Florence
02141556,43.77925,43.3085,11.24626,13.31036,1899,1899,0,Italy,Italy,Florence,Treia
