group,variable,value
15.5,2141204,2
15.5,2141227,1
15.5,2141240,2
15.5,2141250,1
15.5,2141251,2
15.5,2141263,2
15.5,2141267,1
15.5,2141268,2
15.5,2141270,1
15.5,2141271,2
15.5,2141280,2
15.5,2141338,3
15.5,2141340,1
15.5,2141350,1
15.5,2141376,1
15.5,2141400,2
15.5,2141406,2
15.5,2141427,1
15.5,2141428,2
15.5,2141433,3
15.5,2141434,3
15.5,2141439,1
15.5,2141440,1
15.5,2141444,4
15.5,2141456,2
15.5,2141466,1
15.5,2141489,1
15.5,2141490,1
15.5,2141491,2
15.5,2141492,1
15.5,2141529,1
15.5,2141530,2
15.5,2141553,3
15.5,2141554,2
15.5,2141555,1
15.5,2141556,1
15.5,2141557,1
15.5,2141558,1
15.5,2141568,4
15.5,2141588,2
15.5,2141596,1
15.5,2141598,1
15.5,2141599,1
15.5,2141600,1
15.5,2141601,1
15.5,2141603,2
15.5,2141605,2
15.5,2141614,2
15.5,2141620,1
15.5,2141622,1
15.5,2141625,1
15.5,2141627,2
15.5,2141629,1
15.5,2141630,1
15.5,2141643,1
15.5,2141717,1
15.5,2141737,1
15.5,2141738,1
15.5,2141739,1
15.5,2141741,1
15.5,2142772,1
15.5,2142777,1
15.5,2142781,1
15.5,2142782,1
15.5,2144949,1
15.5,2144952,1
15.5,2145052,3
16.0,201623,1
16.0,559810,1
16.0,2001008,0
16.0,2001009,1
16.0,2001010,0
16.0,2001011,0
16.0,2007303,2
16.0,2011395,0
16.0,2011876,0
16.0,2013774,1
16.0,2013814,0
16.0,2013851,1
16.0,2016450,2
16.0,2019494,1
16.0,2117472,1
16.0,2126770,1
16.0,2128758,0
16.0,2129250,0
16.0,2130036,0
16.0,2138497,1
16.0,2140612,1
16.0,2140613,2
16.0,2140616,0
16.0,2140623,0
16.0,2140630,2
16.0,2140632,0
16.0,2140633,1
16.0,2140634,1
16.0,2140635,1
16.0,2140643,2
16.0,2140648,2
16.0,2140668,0
16.0,2140675,1
16.0,2140676,7
16.0,2140685,0
16.0,2140686,2
16.0,2140687,0
16.0,2140700,0
16.0,2140701,1
16.0,2140702,1
16.0,2140703,1
16.0,2140704,2
16.0,2140709,3
16.0,2140711,1
16.0,2140723,1
16.0,2140725,2
16.0,2140726,1
16.0,2140731,2
16.0,2140732,1
16.0,2140738,1
16.0,2140739,0
16.0,2140741,0
16.0,2140745,1
16.0,2140750,0
16.0,2140751,2
16.0,2140752,1
16.0,2140753,0
16.0,2140760,0
16.0,2140761,2
