group,variable,value,detail
NoInfo,Frankfurt am Main,1,2141097
NoInfo,Gemeente Den Haag,1,2138497
NoInfo,Genoa,1,2140723
NoInfo,Glasgow,1,2141240
NoInfo,Iecava,1,2141102
NoInfo,Italy,1,2141192
NoInfo,Kew,1,559810
NoInfo,Livorno,1,2141017
NoInfo,London,10,"2141180,2126770,2141263,2141263,2001009,2141143,2001010,2129250,2013774,2141400"
NoInfo,Lucca,1,2140732
NoInfo,Lviv,1,2141115
NoInfo,Maldon,1,2013851
NoInfo,Marseille,1,2140988
NoInfo,Milan,4,"2019494,2007303,2141596,2140725"
NoInfo,Modena,2,"2140739,2140738"
NoInfo,Munich,2,"2141627,2141086"
NoInfo,Mönchengladbach,1,2141596
NoInfo,Naples,3,"2140745,2140741,2140991"
NoInfo,New York,2,"2141268,2144949"
NoInfo,NoInfo,80,"2140781,2140781,2019494,2141444,2141444,2140643,2140635,2140761,2140633,2140771,2141568,2141555,2140613,2007303,2007303,2141180,2141180,2141433,2141433,2141428,2140745,2126770,2126770,2126770,2126770,2141490,2141490,2141263,2144949,2001009,2141086,2141086,2141148,2141603,2141603,2141143,2140676,2140676,2140676,2140676,2142772,2129250,2013774,2013774,2013774,2140739,2141240,2141102,2141016,2141016,2141110,2141110,2141456,2141456,2140731,2141434,2140776,2140685,2140685,2140685,2141588,2141588,2140634,2141251,2141035,2141097,2141097,2140725,2140849,2141338,2140751,2140751,2140709,2140709,2140770,2141108,2011395,2011395,2011395,2140726"
NoInfo,Palermo,2,"2141444,2141338"
NoInfo,Paris,2,"2140985,2140634"
NoInfo,Parma,1,2140751
NoInfo,Pavia,1,2141109
NoInfo,Pisa,3,"2140752,2140703,2141097"
NoInfo,Prato,1,2141035
NoInfo,Ravenna,1,2126770
NoInfo,Rhodes,1,2140635
NoInfo,Rio de Janeiro,1,2142772
NoInfo,Rome,9,"2140761,2140613,2141433,2140632,2140648,2141456,2141434,2140776,2140770"
NoInfo,San Casciano in Val di Pesa,1,2141434
NoInfo,Santiago de Compostela,1,2141108
NoInfo,Savona,1,2140731
NoInfo,Siena,1,2140783
NoInfo,St Petersburg,1,2141605
NoInfo,Sudbury,1,2141557
NoInfo,Tours,1,2140991
NoInfo,Trieste,1,2141097
NoInfo,Trivignano,1,2140795
NoInfo,Turin,2,"2141603,2141168"
NoInfo,Uppsala,1,2140855
NoInfo,Urbana,1,2141555
NoInfo,Vatican City,2,"2141428,2141427"
NoInfo,Venice,1,2141530
NoInfo,Vienna,2,"2117472,2140675"
NoInfo,Washington,1,2141490
NoInfo,Worcester,1,2141614
Novara,Novara,1,2141086
Oakland,Oakland,1,2141491
Oswestry,Princeton,1,2141554
Palermo,Palermo,1,2141338
Paris,Hamburg,1,2140994
Paris,Paris,8,"2140985,2140632,2141738,2141738,2141737,2140634,2140961,2140961"
Paris,Rome,1,2144952
Paris,Tokyo,1,2141400
Pavia,Pavia,1,2141109
Pisa,Florence,1,2140703
Pisa,NoInfo,1,2141097
Pisa,Pisa,1,2140752
Poppi,Poppi,1,2140760
Prato,Florence,1,2141035
Princeton,Princeton,1,2141554
Providence,Providence,1,2141203
Queensferry,Oxford,1,2141227
Rhodes,Paris,1,2140635
Rio de Janeiro,Rio de Janeiro,1,2142772
Rome,Milan,1,2144952
Rome,New Rochelle,1,2140613
Rome,Paris,2,"2140632,2140648"
Rome,Rome,1,2140771
Rome,Vatican City,2,"2141433,2141434"
San Casciano in Val di Pesa,NoInfo,1,2141434
San Gimignano,London,1,2141250
San Marino,San Marino,1,2129250
Sassari,Sassari,1,2141098
Savona,Lucca,1,2140731
Schweinfurt,New York,1,2141529
Skirling,New York,1,2141553
Sonning,Middletown,1,2141557
South Hadley,South Hadley,1,2141614
St Petersburg,Moscow,1,2140829
Stowe,London,1,2141553
Sudbury,London,2,"2141557,2141280"
Thenford,London,1,2126770
Thenford,New York,1,2126770
Thenford,Thenford,1,2126770
Tokyo,Tokyo,1,2141400
Tours,Tours,1,2140991
Treia,University of Notre Dame,1,2141556
Treviso,Treviso,1,2140795
Trieste,Rome,1,2141097
Trivignano,Treviso,1,2140795
Turin,Geneva,1,2141603
Vatican City,Paris,1,2140643
Venice,London,1,2001011
Venice,Merthyr Mawr,1,201623
Venice,Oxford,1,2141191
Venice,Paris,2,"2011876,2140630"
Venice,Venice,5,"2011876,2141530,2140630,2016450,2016450"
Verona,Verona,1,2141099
Vienna,Minsk,1,2141588
Vienna,Munich,1,2140675
Woodstock,New York,1,2141400
Worcester,South Hadley,1,2141614
