Id,NumOfPro,Loc,Time,Today,Error
02001009,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [51.50853, -0.12574]]","[[1481, 1481], [1475, 1525], [1750, 1825], [1842, 2021]]",True,
02140856,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [51.50853, -0.12574], [51.50853, -0.12574]]","[[1481, 1481], [1550, 1605], [1650, 1757], [1757, 2021]]",True,
02140784,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.31822, 11.33064]]","[[1481, 1481], [1481, 1500], [1614, None], [1758, 2021]]",True,
02142781,5,"[[43.77925, 11.24626], [43.77925, 11.24626], [51.05089, 13.73832], [51.05089, 13.73832], [51.05089, 13.73832], [55.75222, 37.61556]]","[[1481, 1481], [1812, 1829], [1840, 1920], [1920, 1938], [1938, 1945], [1945, 2021]]",True,
02140770,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [41.89193, 12.51133]]","[[1481, 1481], [1501, 1600], [1501, 1600], [1851, 2021]]",True,
02141086,6,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [48.13743, 11.57549], [45.44694, 8.62118], [45.44694, 8.62118]]","[[1481, 1481], [1481, 1600], [1481, 1600], [1601, 1700], [1800, 1830], [None, 1896], [1896, 2021]]",True,
02141588,8,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [None, None], [51.05089, 13.73832], [52.37052, 9.73322], [52.24067, 0.50415], [48.20849, 16.37208], [53.9, 27.56667]]","[[1481, 1481], [1481, 1500], [1501, 1600], [1601, 1700], [1793, 1865], [1831, 1870], [1870, None], [1853, None], [1922, 2021]]",True,
02141148,5,"[[43.77925, 11.24626], [48.69096, 9.14062], [31.152127550000003, 112.87827755536885], [31.152127550000003, 112.87827755536885], [53.22662, -1.62576], [53.21667, -1.6]]","[[1481, 1481], [1501, 1600], [1701, 1800], [1701, 1800], [1811, 1844], [1844, 2021]]",True,
02141598,1,"[[43.77925, 11.24626], [48.13743, 11.57549]]","[[1481, 1481], [None, 2021]]",True,
02141596,6,"[[43.77925, 11.24626], [43.77925, 11.24626], [45.15533665, 10.90486405], [45.46427, 9.18951], [None, None], [51.18539, 6.44172], [50.93333, 6.95]]","[[1481, 1481], [1582, 1582], [1601, 1700], [1801, 1801], [1850, 1900], [1900, 1943], [1964, 2021]]",True,
